ts,user_id,action,duration,value
2026-01-26T07:04:00,u001,logout,98.0,
2026-01-23T05:39:00,u005,view,,448.17
2026-01-05T05:38:00,u003,view,208.0,
2026-01-22T12:55:00,u005,logout,,
2026-01-17T00:16:00,,buy,,251.4
2026-01-09T18:21:00,u003,login,275.0,
2026-01-13T14:00:00,,logout,,980.51
2026-01-14T11:34:00,u002,click,,14.15
2026-01-13T11:37:00,u001,login,,697.42
2026-01-30T00:43:00,u004,login,,
2026-01-16T12:08:00,u002,login,,114.09
2026-01-19T05:40:00,u004,login,296.0,
2026-01-04T21:02:00,u002,login,,606.32
2026-01-24T18:47:00,u004,buy,,
2026-01-14T21:33:00,u005,logout,31.0,947.59
2026-01-29T11:13:00,u002,click,42.0,239.87
2026-01-08T02:58:00,u001,buy,,291.26
2026-01-14T02:41:00,,click,233.0,
2026-01-29T10:43:00,u005,view,218.0,544.56
2026-01-13T02:08:00,u002,login,31.0,
2026-01-20T23:40:00,u001,buy,,
2026-01-20T22:08:00,u001,logout,,
2026-01-02T04:15:00,u001,view,295.0,
2026-01-27T05:24:00,u001,view,,916.07
2026-01-27T15:20:00,u004,buy,,
2026-01-15T14:40:00,,login,,
2026-01-14T02:48:00,,buy,282.0,
2026-01-12T11:41:00,u003,login,207.0,
2026-01-19T19:22:00,u001,view,,
2026-01-29T11:06:00,u004,login,,
2026-01-20T22:32:00,,buy,63.0,973.15
2026-01-08T04:59:00,u003,logout,,93.21
2026-01-22T00:01:00,u001,view,,
2026-01-19T21:49:00,u004,buy,,
2026-01-09T16:11:00,u005,logout,70.0,
2026-01-16T11:14:00,u005,click,,
2026-01-07T18:18:00,u004,logout,,
2026-01-21T17:21:00,u003,view,,
2026-01-02T23:40:00,u003,buy,,988.41
2026-01-23T13:01:00,u001,view,,
2026-01-05T12:54:00,u005,buy,8.0,409.98
2026-01-04T09:43:00,u004,click,,
2026-01-25T06:51:00,u004,click,250.0,617.46
2026-01-29T17:23:00,,click,117.0,433.97
2026-01-29T20:13:00,,login,228.0,694.0
2026-01-03T02:14:00,u003,login,,374.84
2026-01-12T02:43:00,u005,buy,290.0,169.98
2026-01-28T17:43:00,u004,logout,,912.83
2026-01-11T13:36:00,u004,click,,
2026-01-14T02:10:00,,logout,81.0,
2026-01-27T17:47:00,u003,buy,,845.3
2026-01-18T12:11:00,u004,login,,
2026-01-14T10:28:00,u001,buy,141.0,565.93
2026-01-28T14:21:00,,buy,147.0,
2026-01-10T23:12:00,,view,129.0,628.25
2026-01-15T01:26:00,u004,login,,732.36
2026-01-14T10:20:00,u003,buy,90.0,
2026-01-25T03:49:00,u005,click,,
2026-01-14T10:22:00,,click,,962.89
2026-01-11T06:25:00,,buy,,
2026-01-01T15:12:00,u003,logout,,
2026-01-27T14:29:00,u004,click,56.0,
2026-01-28T18:22:00,u002,login,,649.24
2026-01-07T08:40:00,u001,login,,116.12
2026-01-25T11:08:00,u002,buy,,
2026-01-27T17:31:00,,view,213.0,
2026-01-13T17:33:00,u001,click,,444.7
2026-01-17T12:08:00,u001,click,,
2026-01-09T15:19:00,u001,buy,47.0,641.7
2026-01-03T07:14:00,u003,view,65.0,68.61
2026-01-27T16:29:00,u002,view,169.0,788.64
2026-01-13T14:51:00,u002,view,,798.51
2026-01-02T04:09:00,u002,login,184.0,588.85
2026-01-08T22:19:00,u003,login,,526.09
2026-01-22T16:11:00,u004,click,263.0,452.01
2026-01-28T23:51:00,u001,logout,,643.34
2026-01-03T18:26:00,u004,buy,219.0,
2026-01-04T08:16:00,u001,click,76.0,
2026-01-18T08:02:00,u005,logout,,
2026-01-05T12:19:00,,login,283.0,430.07
2026-01-19T19:59:00,u003,buy,,
2026-01-20T10:08:00,u003,click,192.0,
2026-01-04T01:19:00,u001,login,,
2026-01-06T22:07:00,u005,login,,
2026-01-17T02:13:00,,buy,,
2026-01-05T17:09:00,u005,logout,109.0,656.74
2026-01-05T22:12:00,u003,logout,189.0,762.61
2026-01-20T12:42:00,u005,logout,286.0,
2026-01-02T07:37:00,u002,click,,351.02
2026-01-07T12:28:00,u005,buy,36.0,740.97
2026-01-05T04:13:00,,logout,,
2026-01-08T03:55:00,u003,click,167.0,883.34
2026-01-08T03:56:00,u005,login,,
2026-01-23T02:28:00,u005,buy,,215.57
2026-01-16T17:01:00,u004,login,,
2026-01-03T01:36:00,u002,buy,29.0,204.42
2026-01-07T05:53:00,u003,click,168.0,
2026-01-08T23:54:00,u002,buy,273.0,
2026-01-04T06:43:00,u004,login,224.0,459.75
2026-01-15T05:56:00,u005,buy,,
2026-01-14T04:13:00,u001,buy,,
2026-01-17T11:14:00,u001,buy,55.0,
2026-01-24T20:18:00,u001,buy,,221.57
