ts,user_id,action,duration,value,date
2026-01-19 05:40:00,u004,login,296.0,529.4301176470588,2026-01-19
2026-01-04 21:02:00,u002,login,0.0,606.32,2026-01-04
2026-01-24 18:47:00,u004,buy,0.0,529.4301176470588,2026-01-24
2026-01-14 21:33:00,u005,logout,31.0,947.59,2026-01-14
2026-01-29 11:13:00,u002,click,42.0,239.87,2026-01-29
2026-01-08 02:58:00,u001,buy,0.0,291.26,2026-01-08
2026-01-29 10:43:00,u005,view,218.0,544.56,2026-01-29
2026-01-13 02:08:00,u002,login,31.0,529.4301176470588,2026-01-13
2026-01-20 23:40:00,u001,buy,0.0,529.4301176470588,2026-01-20
2026-01-20 22:08:00,u001,logout,0.0,529.4301176470588,2026-01-20
2026-01-02 04:15:00,u001,view,295.0,529.4301176470588,2026-01-02
2026-01-27 05:24:00,u001,view,0.0,916.07,2026-01-27
2026-01-27 15:20:00,u004,buy,0.0,529.4301176470588,2026-01-27
2026-01-12 11:41:00,u003,login,207.0,529.4301176470588,2026-01-12
2026-01-19 19:22:00,u001,view,0.0,529.4301176470588,2026-01-19
2026-01-29 11:06:00,u004,login,0.0,529.4301176470588,2026-01-29
2026-01-08 04:59:00,u003,logout,0.0,93.21,2026-01-08
2026-01-22 00:01:00,u001,view,0.0,529.4301176470588,2026-01-22
2026-01-19 21:49:00,u004,buy,0.0,529.4301176470588,2026-01-19
2026-01-09 16:11:00,u005,logout,70.0,529.4301176470588,2026-01-09
2026-01-16 11:14:00,u005,click,0.0,529.4301176470588,2026-01-16
2026-01-07 18:18:00,u004,logout,0.0,529.4301176470588,2026-01-07
2026-01-21 17:21:00,u003,view,0.0,529.4301176470588,2026-01-21
2026-01-02 23:40:00,u003,buy,0.0,988.41,2026-01-02
2026-01-23 13:01:00,u001,view,0.0,529.4301176470588,2026-01-23
2026-01-05 12:54:00,u005,buy,8.0,409.98,2026-01-05
2026-01-04 09:43:00,u004,click,0.0,529.4301176470588,2026-01-04
2026-01-25 06:51:00,u004,click,250.0,617.46,2026-01-25
2026-01-03 02:14:00,u003,login,0.0,374.84,2026-01-03
2026-01-12 02:43:00,u005,buy,290.0,169.98,2026-01-12
2026-01-28 17:43:00,u004,logout,0.0,912.83,2026-01-28
2026-01-11 13:36:00,u004,click,0.0,529.4301176470588,2026-01-11
2026-01-27 17:47:00,u003,buy,0.0,845.3,2026-01-27
2026-01-18 12:11:00,u004,login,0.0,529.4301176470588,2026-01-18
2026-01-14 10:28:00,u001,buy,141.0,565.93,2026-01-14
2026-01-15 01:26:00,u004,login,0.0,732.36,2026-01-15
2026-01-14 10:20:00,u003,buy,90.0,529.4301176470588,2026-01-14
2026-01-25 03:49:00,u005,click,0.0,529.4301176470588,2026-01-25
2026-01-01 15:12:00,u003,logout,0.0,529.4301176470588,2026-01-01
2026-01-27 14:29:00,u004,click,56.0,529.4301176470588,2026-01-27
2026-01-28 18:22:00,u002,login,0.0,649.24,2026-01-28
2026-01-07 08:40:00,u001,login,0.0,116.12,2026-01-07
2026-01-25 11:08:00,u002,buy,0.0,529.4301176470588,2026-01-25
2026-01-13 17:33:00,u001,click,0.0,444.7,2026-01-13
2026-01-17 12:08:00,u001,click,0.0,529.4301176470588,2026-01-17
2026-01-09 15:19:00,u001,buy,47.0,641.7,2026-01-09
2026-01-03 07:14:00,u003,view,65.0,68.61,2026-01-03
2026-01-27 16:29:00,u002,view,169.0,788.64,2026-01-27
2026-01-13 14:51:00,u002,view,0.0,798.51,2026-01-13
2026-01-02 04:09:00,u002,login,184.0,588.85,2026-01-02
2026-01-08 22:19:00,u003,login,0.0,526.09,2026-01-08
2026-01-22 16:11:00,u004,click,263.0,452.01,2026-01-22
2026-01-28 23:51:00,u001,logout,0.0,643.34,2026-01-28
2026-01-03 18:26:00,u004,buy,219.0,529.4301176470588,2026-01-03
2026-01-04 08:16:00,u001,click,76.0,529.4301176470588,2026-01-04
2026-01-18 08:02:00,u005,logout,0.0,529.4301176470588,2026-01-18
2026-01-19 19:59:00,u003,buy,0.0,529.4301176470588,2026-01-19
2026-01-20 10:08:00,u003,click,192.0,529.4301176470588,2026-01-20
2026-01-04 01:19:00,u001,login,0.0,529.4301176470588,2026-01-04
2026-01-06 22:07:00,u005,login,0.0,529.4301176470588,2026-01-06
2026-01-05 17:09:00,u005,logout,109.0,656.74,2026-01-05
2026-01-05 22:12:00,u003,logout,189.0,762.61,2026-01-05
2026-01-20 12:42:00,u005,logout,286.0,529.4301176470588,2026-01-20
2026-01-02 07:37:00,u002,click,0.0,351.02,2026-01-02
2026-01-07 12:28:00,u005,buy,36.0,740.97,2026-01-07
2026-01-08 03:55:00,u003,click,167.0,883.34,2026-01-08
2026-01-08 03:56:00,u005,login,0.0,529.4301176470588,2026-01-08
2026-01-23 02:28:00,u005,buy,0.0,215.57,2026-01-23
2026-01-16 17:01:00,u004,login,0.0,529.4301176470588,2026-01-16
2026-01-03 01:36:00,u002,buy,29.0,204.42,2026-01-03
2026-01-07 05:53:00,u003,click,168.0,529.4301176470588,2026-01-07
2026-01-08 23:54:00,u002,buy,273.0,529.4301176470588,2026-01-08
2026-01-04 06:43:00,u004,login,224.0,459.75,2026-01-04
2026-01-15 05:56:00,u005,buy,0.0,529.4301176470588,2026-01-15
2026-01-14 04:13:00,u001,buy,0.0,529.4301176470588,2026-01-14
2026-01-17 11:14:00,u001,buy,55.0,529.4301176470588,2026-01-17
2026-01-24 20:18:00,u001,buy,0.0,221.57,2026-01-24
